,SIZE,SEXA,SSJB1WK,SPAGEX,SPLVTG,PPLVTG,MMLVTG,CCNUMTTL,CC01SEX,CC01AGE,SZFFOTHR,SZFFONLY,SZFFTTL,FFHEAD,SZFFOUT,INCSELF,INCSP,INCPEN,INCUEB,INCIRR,INCRENT,SZINCOMA,XNUMSISE,XNUMBROY,XSSNBROY,XSSNSISY,TP5LOC15,PPJBXX15,PPJBSZ15,MMJBTP15,XXLSTSCH,SSLSTSCH,PPLSTSCH,DOLSTSCH,XSPSCH
135,3,2,1,52,1,3,3,2,1,19,0,3,4,2,0,0,1,1,1,1,1,2,0,1,1,0,2,2,6,2,3,3,2,1,2
136,3,2,0,0,0,1,1,3,2,29,0,3,4,4,0,0,1,0,1,1,1,3,2,0,0,0,2,2,6,2,2,0,2,1,1
137,3,2,1,49,1,3,2,2,1,18,0,3,4,2,0,0,1,1,1,1,1,2,1,0,0,0,1,2,3,1,2,3,2,1,2
138,1,1,1,50,1,3,1,2,2,25,0,3,4,1,0,1,1,1,1,1,1,1,0,0,0,2,1,2,6,1,3,2,0,1,1
139,3,2,1,59,1,2,2,2,1,17,0,3,4,2,0,1,1,1,1,1,1,1,0,2,1,1,3,2,0,1,3,2,1,1,1
140,1,2,1,51,1,3,3,3,1,22,0,4,5,2,0,0,1,1,1,1,1,0,4,0,0,0,2,2,2,3,2,3,2,1,2
141,2,2,1,53,1,2,2,2,2,19,0,2,3,2,1,0,1,1,1,1,1,2,0,0,1,0,3,2,2,1,2,2,2,1,2
142,3,2,0,0,0,3,3,0,0,0,1,1,2,4,0,0,1,1,1,1,1,3,0,0,0,0,2,0,0,1,2,0,2,1,1
143,3,1,1,50,1,3,2,3,2,25,0,1,2,1,0,1,1,1,0,1,1,3,0,2,0,0,2,2,0,1,2,2,0,1,2
144,4,1,3,45,2,3,2,2,1,19,0,0,1,1,3,0,1,1,1,1,1,5,0,1,0,1,4,2,6,1,3,2,3,1,2
145,3,1,1,43,1,2,2,3,2,22,0,1,2,1,2,0,1,1,1,1,1,5,1,0,1,2,2,2,5,2,3,2,0,1,2
