,MARC
2205,3
2206,1
2207,1
2208,1
2209,1
2210,1
2211,3
2212,1
2213,1
2214,1
2215,1
2216,1
2217,2
2218,1
2219,1
2220,1
2221,4
2222,1
2223,1
2224,1
2225,4
2226,4
2227,4
2228,1
2229,4
2230,1
2231,4
2232,4
2233,1
2234,4
2235,4
2236,4
2237,1
2238,4
2239,4
2240,3
2241,3
2242,4
2243,1
2244,3
2245,3
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,3
2254,2
2255,3
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,2
2263,4
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,4
2271,1
2272,1
2273,1
2274,4
2275,1
2276,1
2277,2
2278,1
2279,3
2280,4
2281,4
2282,1
2283,4
2284,1
2285,1
2286,4
2287,1
2288,4
2289,4
2290,4
2291,3
2292,1
2293,3
2294,1
2295,3
2296,1
2297,3
2298,3
2299,3
2300,3
2301,3
2302,4
2303,2
2304,2
2305,3
2306,3
2307,3
2308,3
2309,2
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,3
2317,2
2318,1
2319,1
2320,1
2321,1
2322,1
2323,2
2324,1
2325,2
2326,1
2327,1
2328,1
2329,2
2330,1
2331,4
2332,1
2333,1
2334,1
2335,4
2336,1
2337,2
2338,4
2339,4
2340,3
2341,3
2342,1
2343,1
2344,2
2345,2
2346,1
2347,3
2348,1
2349,3
2350,1
2351,1
2352,2
2353,4
2354,1
2355,1
2356,3
2357,2
2358,1
2359,4
2360,1
2361,1
2362,2
2363,4
2364,4
2365,4
2366,4
2367,4
2368,4
2369,2
2370,3
2371,2
2372,2
2373,1
2374,1
2375,1
2376,3
2377,1
2378,1
2379,4
2380,1
2381,1
2382,1
2383,1
2384,1
2385,1
2386,4
2387,2
2388,4
2389,1
2390,1
2391,1
2392,1
2393,1
2394,1
2395,1
2396,1
2397,1
2398,2
2399,4
2400,1
2401,3
2402,1
2403,1
2404,1
2405,1
2406,3
2407,2
2408,2
2409,1
2410,1
2411,4
2412,3
2413,1
2414,1
2415,1
2416,4
2417,1
2418,1
2419,4
2420,1
2421,1
2422,4
2423,2
2424,4
2425,4
2426,4
2427,4
2428,4
2429,4
2430,4
2431,3
2432,1
2433,3
2434,1
2435,4
2436,1
2437,3
2438,1
2439,3
2440,1
2441,1
2442,1
2443,1
2444,1
2445,4
2446,1
2447,2
2448,1
2449,1
2450,4
2451,1
2452,4
2453,1
2454,2
2455,2
2456,4
2457,4
2458,1
2459,4
2460,1
2461,1
2462,1
2463,1
2464,3
2465,1
2466,1
2467,3
2468,1
2469,1
2470,3
2471,1
2472,2
2473,1
2474,1
2475,2
2476,1
2477,3
2478,3
2479,1
2480,1
2481,1
2482,3
2483,1
2484,1
2485,4
2486,1
2487,1
2488,2
2489,1
2490,2
2491,1
2492,1
2493,1
2494,2
2495,1
2496,1
2497,1
2498,1
2499,4
2500,1
2501,1
2502,1
2503,4
2504,1
2505,1
2506,1
2507,1
2508,1
2509,1
2510,2
2511,1
2512,1
2513,1
2514,1
2515,1
2516,1
2517,1
2518,4
2519,1
2520,4
2521,1
2522,2
2523,1
2524,4
2525,2
2526,4
2527,1
2528,1
2529,1
2530,1
2531,1
2532,1
2533,4
2534,4
2535,1
2536,4
2537,2
2538,4
2539,4
2540,4
2541,1
2542,4
2543,4
2544,4
2545,4
2546,4
2547,4
2548,4
2549,4
2550,4
2551,4
2552,4
2553,1
2554,1
2555,3
2556,3
2557,1
2558,1
2559,4
2560,3
2561,1
2562,2
2563,1
2564,1
2565,1
2566,4
2567,1
2568,4
2569,1
2570,1
2571,1
2572,4
2573,4
2574,3
2575,1
2576,3
